_id,factory id,serial number,weight,gate id
60827c61c106658cefb055c1,1100,2626,400,
608610cf680ac9db64aba7fd,1101,2627,401,
608610cf680ac9db64aba7ff,1102,2628,402,
608610cf680ac9db64aba801,1103,2629,403,
608613ba82b4b1f6c556a465,11100,2701,410,
60863591655e02a510c4966d,1100ee00e20043b0cc8587,09eccd21b0ee35,0,
608635e4655e02a510c4966f,1100ee00e20043b0cb8466,c9ecca59c1752b,920,
60863601655e02a510c49673,1100ee00e20043b0cbc37b,89eccb561412c5,590,
6086360f655e02a510c49675,1100ee00e20043b0cb8524,89ecca5cb8fbef,720,
60863620655e02a510c49677,1100ee00e20043b0cbc37b,89eccb561412c5,2020,
6086362d655e02a510c49679,1100ee00e20043b0cbc37b,89eccb561412c5,72350,
6086365d655e02a510c4967f,1100ee00e20043b0cbc37b,89eccb561412c5,74760,
60863fd714e1258441ec11cf,1100ee00e20043b0cb8524,89ecca5cb8fbef,2010,
6086400214e1258441ec11d1,1100ee00e20043b0cc8587,09eccd21b0ee35,2060,
6086403e14e1258441ec11d3,1100ee00e20043b0cc81ea,09eccd133c8023,2010,
6086405814e1258441ec11d5,1100ee00e20043b0cb8524,89ecca5cb8fbef,2010,
6086407714e1258441ec11d7,1100ee00e20043b0cb8524,89ecca5cb8fbef,2010,
6086408b14e1258441ec11d9,1100ee00e20043b0cb8524,89ecca5cb8fbef,0,
6086409e14e1258441ec11db,1100ee00e20043b0cb8524,89ecca5cb8fbef,720,
608640d3eb5a6ad682f4400a,1100ee00e20043b0cb8524,89ecca5cb8fbef,710,
608640eaeb5a6ad682f4400c,1100ee00e20043b0cb8524,89ecca5cb8fbef,2010,
608640fbeb5a6ad682f4400e,1100ee00e20043b0cc81ea,09eccd133c8023,0,
608644476388952c23c9275c,1100ee00e20043b0cb8524,89ecca5cb8fbef,720,
6086445c6388952c23c9275e,1100ee00e20043b0cc8587,09eccd21b0ee35,0,
608644756388952c23c92760,1100ee00e20043b0cc8587,09eccd21b0ee35,0,
6086448c6388952c23c92762,1100ee00e20043b0cb8524,89ecca5cb8fbef,710,
608644996388952c23c92764,1100ee00e20043b0cca37b,49eccd998171ea,2010,
608644ab6388952c23c92766,1100ee00e20043b0cbc37b,89eccb561412c5,590,
608644bb6388952c23c92768,1100ee00e20043b0cb8466,c9ecca59c1752b,0,
608644d46388952c23c9276a,1100ee00e20043b0cc84bb,49eccd1e815d88,72520,
608644e66388952c23c9276c,1100ee00e20043b0cc8587,09eccd21b0ee35,74740,
608663b20064e98005e4929a,11100,2701,410,
608663be269ddbbcb8f83b93,11100,2701,410,
